País,2008,2008.1,2009,2009.1,2010,2010.1,2011,2011.1,2012,2012.1,2013,2013.1,2014,2014.1,2015,2015.1,2016,2016.1,2017,2017.1,2018,2018.1,2019,2019.1,2020,2020.1,2021,2021.1,2022,2022.1
Afeganistão,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,46,0,0
África do Sul,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,95,4,21,0,0,0,0
"Alemanha, República Democrática",265742,429970,225086,393482,27715,138666,36070,144150,8189,56342,61699,265978,213348,761653,10680,44780,14012,68109,15467,87702,10794,45382,3660,25467,6261,32605,2698,6741,7630,45367
Angola,25721,71083,54786,84235,33557,189891,13889,69001,2833,8861,1573,9300,12182,23124,1908,17089,7359,35390,10170,61680,477,709,345,1065,0,0,0,0,4068,4761
Anguilla,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antígua e Barbuda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,191,219,1549,624,1864,805,2268,419,1866
Antilhas Holandesas,17938,22908,8235,10651,9810,12808,7335,10188,9247,14081,11281,19565,4455,7169,6660,10545,16641,26450,5400,8550,0,0,0,0,0,0,0,0,0,0
Argentina,0,0,162,4523,0,0,13253,55460,0,0,0,0,20385,95130,0,0,0,0,0,0,15711,59150,0,0,1015,4176,6,13,480,3232
Aruba,0,0,0,0,0,0,900,1680,0,0,0,0,450,755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Austrália,218726,99280,1014,9195,1823,17960,3632,40704,9345,56045,16707,101715,6308,43709,7437,48011,1954,13799,1350,7500,2055,6902,1161,4682,1013,3413,705,4034,1424,12299
Áustria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,675,5220,0,0,0,0,0,0,0,0,0,0,6,212
Bahamas,0,0,0,0,3175,12759,4529,28810,1374,12087,581,5145,0,0,0,0,0,0,0,0,141,634,791,3124,1212,3703,1083,4567,1215,5799
Bangladesh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,29,2,20,7,84
Barbados,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,394,143,169,216,844,220,1145
Barein,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,482,2144,8,28,302,894,979,2789
Bélgica,3523,12969,125962,58764,42532,185411,11802,62339,16132,90718,22461,95893,151320,704093,4473,26399,7200,46534,2790,16405,7497,52799,2498,12548,3166,20460,483,3749,828,6145
Belice,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,29,0,0,0,0,0,0
Benin,10350,17423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5040,20333,0,0,0,0,9,9,0,0,0,0,0,0
Bolívia,3979,3990,40463,20729,54,282,12775,20215,11868,16804,19147,25998,12534,18303,10674,12990,13586,16902,9495,23085,21566,57424,0,0,9900,16025,5850,8360,32530,49011
Bósnia-Herzegovina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,52,0,0,0,0
Brasil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,46,2504,952
Bulgária,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117,1579,0,0,0,0,0,0,0,0,5,31
Cabo Verde,0,0,0,0,11991,49366,600,825,0,0,0,0,0,0,0,0,0,0,0,0,18,48,0,0,0,0,16,124,0,0
Camarões,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1749,7476,0,0,0,0,0,178,0,0,0,0
Canadá,20949,80476,15664,73445,0,0,28906,128076,14304,146035,25329,174643,35082,226875,24547,118394,13711,71096,6075,30658,5308,20414,1589,6933,1672,8431,1172,6157,1183,5784
Catar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13338,81606,0,0,0,0,0,0,1,2,0,0
"Cayman, Ilhas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,203,19,106,123,339,104,356,160,958
Chile,0,0,1475,4297,0,0,0,0,8550,15438,0,0,0,0,0,0,0,0,0,0,11049,42832,0,0,11,13,26,6,2094,7986
China,8689,25926,1553416,482400,795,2358,54156,334867,87905,642177,40929,279956,64040,455340,47609,222866,134106,499622,67594,266086,30835,126336,129852,376828,122253,363000,61884,264116,105395,404647
Chipre,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,279,480,672,1843,2478,6785,1855,4530,1521,4458
Cingapura,1233,4699,2419,6110,1533,5504,911,3317,1212,5310,766,5779,541,3887,1116,2774,5445,13199,0,0,3298,11616,5044,19099,4049,9316,0,0,0,0
"Cocos (Keeling), Ilhas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,60
Colômbia,0,0,0,0,0,0,0,0,0,0,8,30,0,0,0,0,0,0,0,0,6944,26273,897,1999,15660,23780,12160,21867,8217,14068
Comores,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,25,0,0,0,0
Congo,0,0,0,0,0,0,360,570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Coreia, Republica Sul",3520,14366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,20,0,0,120,109,70,194,103,433,67,100,77,257
Costa do Marfim,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Costa Rica,55,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Croácia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,123,0,0,34,484
Cuba,0,0,0,0,0,0,2880,4899,0,0,0,0,38875,43200,97965,108864,63741,69830,62791,72229,4776,5584,0,0,0,0,0,0,16,6
Curaçao,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12340,23011,23930,43676,33951,62067,47962,65986,32263,58993,40673,66950
Dinamarca,518,15905,1980,21780,7034,69161,32797,83057,4716,23802,17892,101915,3240,16871,7080,29306,1278,8171,581,2829,0,0,240,306,659,1962,87,504,2,6
Dominica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,460,634,1485,2223
El Salvador,0,0,55,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Emirados Arabes Unidos,2437,12298,1398,4032,1035,3206,2120,6594,675,3300,0,0,640,3381,765,3740,585,2760,675,3302,360,1762,450,2202,581,2279,810,10522,4781,85465
Equador,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3780,3824,0,0,135,210
"Eslovaca, Republica",585,16063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Espanha,2942,6834,2181,4050,0,0,5206,24618,0,0,1972980,3748940,0,0,0,0,0,0,0,0,6123,22631,3540,1353,28,126,0,0,0,0
Estados Unidos,443895,804607,372319,660066,228968,478630,306787,1030254,146585,303986,245368,786556,222267,494216,195896,524109,258072,687411,132688,1523699,169109,512519,209765,616274,300178,610793,111085,203554,220373,447893
Estônia,4114,9730,5438,10802,15848,40778,450,5336,3321,19384,0,0,0,0,0,0,900,4800,0,0,0,0,0,0,0,0,0,0,0,0
Filipinas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9608,16205,736,2486,719,1548,2784,10368,375,790
Finlândia,0,0,0,0,0,0,12404,50394,17100,67959,36682,283114,12960,94962,0,0,7617,41003,0,0,0,0,0,0,0,0,0,0,0,0
França,11078,27500,0,0,3614,18904,0,0,195604,185791,6885,42256,33755,167807,1596,4749,6037,30055,4253,21654,11077,48677,18286,67072,12622,57144,7052,23742,5694,25008
Gana,18168,25642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9000,13502,7673,10010,18810,22027,12578,19196,35949,49304
Gibraltar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,93,769,2860,0,0,0,0
Granada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5610,7914
Grécia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,232,730,561,1994,6859,18092,908,3014,920,2426
Guatemala,0,0,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1597,8719,0,0,17347,29100,1283,5350
Guiana,0,0,0,0,783,3654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,424,1311,990,2577,2372,6525,2064,5823
Guiana Francesa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,32,22,18
Guine Bissau,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,90,0,0,0,0,0,0,0,0,0,0
Guine Equatorial,548,1417,169,272,410,1015,956,1979,819,2530,1108,5336,5646,11983,0,0,0,0,2639,30563,8389,26808,0,0,0,0,0,0,0,0
Haiti,20,20,4500,5863,2700,3750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79500,144425,81873,129803,399128,471152,670379,831181,553503,741014
Honduras,162,580,14,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hong Kong,2430,13460,50319,27188,0,0,2063,7975,1609,7653,16013,61224,18130,63534,1229,7837,6975,86199,1934,8180,1742,9029,9651,42020,15159,41987,12507,39390,9371,38218
Hungria,0,0,0,0,540,4103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,583,0,0
Ilha de Man,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,175,11,121,97,445,165,641
Ilhas Virgens,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,273,7,10,13,86,247,1021
Indonésia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,0,0,0,0
Irã,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,35,116,287,47,90
Iraque,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Irlanda,0,0,0,0,3969,42795,5376,35690,0,0,0,0,0,0,0,0,0,0,0,0,7560,25767,0,0,29,257,36,208,0,0
Itália,0,0,1817,5251,1458,4828,11999,80298,792,5622,1710,11967,604,2492,0,0,585,3465,468,2248,3661,13260,587,1625,91,376,696,3715,1129,6151
Jamaica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Japão,232293,178333,217974,283436,112178,74628,100835,144662,29281,116961,91988,429088,106426,401774,31597,87853,34341,90954,33909,92886,36992,112342,40621,99642,36442,92674,39491,90275,37324,82208
Jordânia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,52,0,0,0,0
Letônia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,387,3723,0,0,0,0,0,0,0,0,0,0
Líbano,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Libéria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,658,3100,4441,20068,5155,17624,7554,23060,9145,34815
Luxemburgo,13606,42341,7845,42124,7344,32549,9547,65592,2444,16547,5135,29474,8281,52400,2295,17358,2759,21426,2719,21947,1778,11053,1666,11211,1086,5110,0,0,36,802
Malásia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,33,48,110,0,0,0,0,0,0
Malta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,503,1192,3661,8828,3490,9688,3441,15454,3127,15587
"Marshall, Ilhas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,923,2436,7276,15786,6270,19639,8644,22561,7240,27178
Mauritânia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,85,0,0
México,0,0,0,0,0,0,1350,7200,0,0,0,0,1521,24336,0,0,0,0,664,2292,2748,9744,4,4,24,226,9,2,6,33
Moçambique,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,383,1927
Montenegro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,46,9,20,14,65,0,0
Namibia,340,722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nicaragua,0,0,24,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nigéria,7560,10920,41,115,0,0,54,210,6449,10196,1350,2245,0,0,0,0,0,0,0,0,5175,6250,28437,38555,12094,26514,68247,113172,32234,50283
Noruega,0,0,0,0,0,0,10268,78688,5104,31515,2375,19008,7179,50464,1058,6021,0,0,0,0,1295,9847,628,3139,1859,15134,1878,8320,2711,40316
Nova Caledônia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7227,11924,0,0
Nova Zelândia,0,0,0,0,0,0,2587,7992,2364,8817,1004,4092,2800,13675,809,3476,504,9472,1678,8140,969,5565,500,2832,95,515,657,10477,63,156
Omã,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,194,670
Países Baixos,340412,783635,171654,136991,87368,302182,125414,395356,134879,539641,57792,255690,165289,773767,44987,186464,42953,190203,0,0,9451,32395,44882,148031,248,1532,3791,8484,7034,37240
Panamá,1161,1882,24,30,0,0,0,0,39,2262,0,0,0,0,0,0,0,0,0,0,1183,3117,7918,29017,10821,28372,29520,48444,11490,49392
Paraguai,2191901,1374088,486927,392087,510989,449197,240168,276281,354824,428279,481564,680828,521847,908028,495428,741370,985739,1655417,2393468,4274650,3234168,5494321,2419537,3826587,3299013,3869243,6522527,7192362,5076670,7156293
Peru,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5193,19372,9755,17310,0,0,9720,17107,0,0
Polônia,20290,58353,6982,35797,20464,95198,11732,50684,21663,89158,19249,90960,30181,107957,11654,42781,11457,35402,0,0,720,4679,5,11,74,86,4,14,0,0
Porto Rico,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Portugal,49090,48942,141000,168923,4577,18970,95,1031,47172,47022,23810,17627,71544,79141,47736,42586,0,0,0,0,0,0,18328,72413,7958,34518,6358,42633,1918,7613
Quênia,0,0,0,0,0,0,0,0,94,458,6,4,0,0,0,0,0,0,0,0,6771,31225,0,0,0,0,0,0,1440,2080
Reino Unido,100097,155076,30092,68788,123624,295690,122629,285642,82937,334856,59161,305005,305807,1373747,68382,308407,117044,536681,60711,242883,67708,296827,34295,164592,22913,82722,25316,122394,18835,138154
República Dominicana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rússia,6207658,2352768,21912914,5732280,0,0,0,0,4528176,2103968,5893291,14795694,190656,61440,47664,18240,0,0,0,0,0,0,0,0,1463,8550,181931,312926,66046,118618
São Tomé e Príncipe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2184,2357,0,0,0,0,0,0,0,0
São Vicente e Granadinas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,48,20,51
Senegal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Serra Leoa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,717,9240,13050,6525,12955,8101,15182
Singapura,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4504,14346,4322,15434
Suazilândia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,24,0,0
Suécia,26984,84564,28334,52826,0,0,1641,14476,2705,17280,3195,20183,10404,51057,1412,6404,291,1214,15445,64953,8062,34563,28,761,6,24,23,74,5,18
Suíça,54384,216317,27653,81319,2025,21600,0,0,4014,47240,2997,29785,27933,231762,15872,85790,4230,33340,6525,74816,0,0,2223,28503,2827,27930,627,6999,1584,20863
Suriname,900,1625,3830,12918,1836,1269,3774,3735,396,1288,1800,2960,6,19,453,713,900,1375,3690,5638,0,0,3206,4741,4185,5277,900,1472,1225,3360
Tailândia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,45,128,832,534,1753,1334,2529,432,1713
Taiwan (FORMOSA),10030,18679,0,0,0,0,4500,10600,0,0,0,0,12519,67907,7200,23940,16967,80379,14988,43954,7589,18421,12,67,963,4673,1313,8153,25,277
Tanzânia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tcheca, República",17135,64709,9269,43902,1091,5285,6846,37271,7960,27789,3697,23549,4500,35005,2297,15304,3837,28473,2746,16947,2712,20980,2115,16391,563,4805,456,5988,1305,9997
Togo,5160,7800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1890,2012,17317,25608
Trinidade Tobago,0,0,0,0,0,0,0,0,531,2720,0,0,360,1600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tunísia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Turquia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,360,150,115,209,0,0,343,878,418,503
Tuvalu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0
Uruguai,0,0,0,0,914,2929,1238,4404,1135,3879,1526,13343,0,0,0,0,0,0,0,0,7711,29617,6180,18497,0,0,136774,149842,637117,997367
Vanuatu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,31,0,0,0,0
Venezuela,0,0,0,0,0,0,0,0,1029,7492,0,0,14,232,0,0,0,0,680,2646,71,355,0,0,4086,9808,26415,35944,23220,32351
Vietnã,0,0,743,2143,8820,9977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,32,86,584,0,0,130,277
